gen,k1,k2,f,w,paramsMuted
7360,10000032.5776,100000031.152,10,1.0,k1 k2
8656,10000024.8929,100000031.152,10,1.0,k1
10627,10000024.8929,100000066.829,10,1.0,k2
25222,10000022.6281,100000066.829,10,1.0,k1
26437,10000022.6281,100000066.829,16.5245985134,0.999964722669,f
26669,9999991.87423,100000069.267,8.35165691441,0.999995611463,f k1 k2
29211,9999991.87423,100000065.099,4.98586594963,0.999936749038,f k2
33749,9999991.87423,100000084.572,36.728256943,0.999758852453,f k2
34288,9999991.87423,100000077.017,36.728256943,0.999758852477,k2
35513,9999985.1548,100000077.017,36.728256943,0.999758852725,k1
41484,9999998.58564,100000083.691,21.3295113054,0.999919085249,f k1 k2
44909,9999996.15643,100000067.996,21.5906933392,0.999916435756,f k1 k2
44923,9999987.47413,100000067.996,21.5906933392,0.999916435944,k1
46511,9999987.47413,100000067.996,16.6115470643,0.999963975114,f
50081,9999996.48833,100000067.996,16.6115470643,0.999963974987,k1
51126,9999993.92787,100000059.301,16.6115470643,0.999963975034,k1 k2
53623,10000004.6843,100000059.301,16.6115470643,0.999963974882,k1
54804,10000004.6843,100000059.301,34.2883798693,0.999783826728,f
56836,10000004.6843,100000065.217,9.62615033245,0.999999802028,f k2
60281,10000004.6843,100000049.649,9.62615033245,0.999999802027,k2
60558,9999995.11822,100000049.649,9.62615033245,0.999999802017,k1
61629,9999991.0683,100000049.649,7.83877318315,0.99999201095,f k1
62133,9999991.0683,100000027.06,7.83877318315,0.999992010938,k2
63623,9999982.26105,100000070.249,15.214147407,0.99997545327,f k1 k2
68026,9999974.19775,100000097.018,12.24871389,0.999994319232,f k1 k2
71770,9999974.19775,100000076.289,12.24871389,0.999994319242,k2
76570,9999939.90384,100000057.983,15.4025311535,0.999973980257,f k1 k2
80611,9999939.90384,100000077.35,15.4025311535,0.999973980237,k2
86983,9999939.90384,100000087.137,15.4025311535,0.999973980227,k2
87091,9999934.45686,100000094.396,15.4025311535,0.999973980285,k1 k2
87467,9999937.98617,100000127.362,29.249267133,0.999836389568,f k1 k2
88524,9999953.22716,100000123.007,42.469622677,0.999701676701,f k1 k2
89746,10000010.6082,100000154.162,59.7981078193,0.999543837999,f k1 k2
91154,10000010.6082,100000154.162,83.5465254902,0.999359537823,f
93731,10000010.6082,100000154.162,126.338150757,0.999093567476,f
94094,10000010.6082,100000108.05,141.414526098,0.999014283001,f k2
95876,10000049.5258,100000109.063,141.414526098,0.999014280237,k1 k2
97658,10000103.6031,100000110.267,115.600092832,0.999154046861,f k1 k2
100850,10000103.6031,100000086.327,152.851033394,0.998957985022,f k2
100992,10000117.7869,100000081.247,168.077042454,0.998887532755,f k1 k2
107622,10000117.7869,100000081.247,166.562896751,0.998894326648,f
108489,10000092.9147,100000081.186,167.448392488,0.998890349888,f k1 k2
108908,10000084.5805,100000081.186,155.24371132,0.998946590566,f k1
109079,10000129.4024,100000081.205,180.8001415,0.99883214543,f k1 k2
109097,10000156.5271,100000060.823,202.148196472,0.998745393098,f k1 k2
112778,10000159.1073,100000085.657,190.041482274,0.998793696003,f k1 k2
115464,10000166.7349,100000059.975,202.098741319,0.998745585124,f k1 k2
119253,10000170.3859,100000090.33,202.098741319,0.998745584621,k1 k2
119801,10000157.5123,100000083.341,202.098741319,0.998745585677,k1 k2
123240,10000129.7745,100000087.829,202.098741319,0.998745587811,k1 k2
124452,10000129.7745,100000087.829,201.874652871,0.998746461943,f
128389,10000131.8567,100000101.451,201.482871585,0.998747991724,f k1 k2
129729,10000131.8567,100000101.451,190.81174338,0.998790556938,f
130202,10000131.8567,100000126.093,192.177442153,0.998785010858,f k2
135007,10000131.8567,100000125.057,204.21406932,0.998737371826,f k2
136003,10000154.4567,100000160.737,199.373020031,0.998756268173,f k1 k2
139550,10000138.5053,100000160.737,187.854338383,0.99880266825,f k1
144007,10000151.9341,100000160.737,159.39230504,0.998927121007,f k1
144878,10000151.9341,100000160.737,147.587095315,0.998983507014,f
146673,10000167.1047,100000172.74,149.849224999,0.998972458311,f k1 k2
148470,10000146.4676,100000172.74,156.159852994,0.998942255308,f k1
149174,10000142.6281,100000172.74,156.159852994,0.998942255589,k1
149807,10000169.7039,100000179.5,197.861456314,0.998762238733,f k1 k2
151499,10000194.452,100000185.22,215.265987474,0.99869546586,f k1 k2
151707,10000152.4473,100000182.428,189.413116269,0.998796265316,f k1 k2
156759,10000152.4473,100000200.591,190.692559383,0.998791040052,f k2
157744,10000163.4838,100000200.591,208.503075453,0.998720907473,f k1
163409,10000177.443,100000209.696,218.736088293,0.998682650831,f k1 k2
164650,10000199.2357,100000181.049,205.241419504,0.998733399375,f k1 k2
166936,10000172.3243,100000228.829,139.532659316,0.999023837516,f k1 k2
169860,10000172.3243,100000201.498,144.281165881,0.998999867787,f k2
171301,10000172.3243,100000202.838,144.281165881,0.998999867778,k2
171588,10000172.3243,100000202.838,146.134497783,0.998990662639,f
172596,10000170.9731,100000189.666,137.358894934,0.999035001142,f k1 k2
173469,10000163.5498,100000200.085,137.358894934,0.999035001596,k1 k2
175664,10000163.5498,100000191.27,129.581177634,0.999075974184,f k2
176237,10000164.9056,100000191.27,129.581177634,0.999075974091,k1
184496,10000168.2764,100000175.205,129.581177634,0.999075973959,k1 k2
188416,10000168.2764,100000153.732,129.581177634,0.999075974093,k2
188822,10000185.0625,100000153.732,112.949817772,0.999169540209,f k1
189230,10000177.0852,100000153.732,125.356938058,0.999098936251,f k1
189313,10000167.1125,100000153.732,93.5880769445,0.999290574797,f k1
192964,10000167.1125,100000142.42,93.5880769445,0.99929057486,k2
195429,10000167.1125,100000153.186,93.5880769445,0.9992905748,k2
199180,10000167.1125,100000130.896,99.3880277621,0.999252780701,f k2
201053,10000140.7691,100000130.896,137.377457341,0.999034907794,f k1
205562,10000117.4314,100000114.237,135.335099393,0.9990455093,f k1 k2
