gen,k1,k2,f,w,paramsMuted
8915,9999968.6343,100000000.0,10,1.0,k1
10090,9999968.83893,99999966.7676,10,1.0,k1 k2
12709,9999952.43499,99999958.0157,9.56660056085,0.999973231174,f k1 k2
14596,9999951.9307,99999958.0157,9.56660056085,0.999973231114,k1
30649,9999951.9307,99999907.1347,9.56660056085,0.999973230589,k2
33458,9999915.59794,99999897.88,9.56660056085,0.999973226173,k1 k2
44704,9999897.55184,99999897.88,9.56660056085,0.999973224027,k1
49745,9999897.55184,99999911.7122,9.56660056085,0.99997322417,k2
66524,9999898.47438,99999898.8288,9.56660056085,0.999973224147,k1 k2
71764,9999906.67708,99999898.8288,9.56660056085,0.999973225122,k1
72190,9999934.82771,99999904.6635,9.56660056085,0.99997322853,k1 k2
83097,9999922.88159,99999919.733,9.56660056085,0.999973227265,k1 k2
90292,9999919.00446,99999927.0399,9.56660056085,0.999973226879,k1 k2
104642,9999919.00446,99999952.5692,9.56660056085,0.999973227142,k2
109073,9999919.00446,99999942.0763,9.56660056085,0.999973227034,k2
124929,9999947.31453,99999930.0437,9.39312394171,0.999946610006,f k1 k2
126142,9999947.31453,99999939.4483,9.39312394171,0.999946610143,k2
131093,9999939.1723,99999918.6289,9.39312394171,0.999946608474,k1 k2
134339,10000010.0777,99999944.3744,10.6492958804,0.999945735441,f k1 k2
134911,10000010.0777,99999917.1227,10.6492958804,0.999945735843,k2
149176,9999994.57152,99999933.2693,10.6492958804,0.999945738245,k1 k2
154018,9999991.8928,99999920.8026,10.6492958804,0.999945738886,k1 k2
162342,10000007.6985,99999885.576,10.6492958804,0.999945736715,k1 k2
162836,10000000.1101,99999818.4163,11.3815044063,0.999769637301,f k1 k2
168208,10000012.175,99999837.4812,11.3815044063,0.999769632472,k1 k2
177280,10000012.175,99999837.4812,8.34527141283,0.999557528773,f
180794,10000022.6532,99999814.5194,10.2712114639,0.999990199259,f k1 k2
181110,10000022.3114,99999814.5194,10.2712114639,0.999990199284,k1
181535,10000054.6629,99999803.346,10.2712114639,0.999990197017,k1 k2
189364,10000089.2547,99999803.346,10.2712114639,0.999990194518,k1
203027,10000073.2658,99999775.3584,10.2712114639,0.999990195848,k1 k2
207243,10000071.8898,99999798.7894,10.2712114639,0.999990195801,k1 k2
211142,10000071.8898,99999783.0682,10.2712114639,0.999990195899,k2
212533,10000071.8898,99999805.2931,10.2712114639,0.99999019576,k2
222928,10000049.4463,99999798.93,10.2712114639,0.999990197421,k1 k2
224309,10000048.4535,99999834.5513,10.2712114639,0.99999019727,k1 k2
232277,10000015.2043,99999829.0691,10.2712114639,0.999990199706,k1 k2
234808,10000000.4085,99999829.0691,10.2712114639,0.999990200775,k1
235145,10000000.4085,99999849.2916,10.2712114639,0.999990200648,k2
242324,9999998.25545,99999830.587,10.2712114639,0.999990200921,k1 k2
242973,9999998.25545,99999840.9175,8.96471673121,0.999837776977,f k2
248593,9999991.72432,99999843.2445,8.96471673121,0.999837775131,k1 k2
256845,10000005.1391,99999839.1011,10.9020857694,0.999897597113,f k1 k2
258026,10000035.6575,99999825.3646,10.9020857694,0.999897590245,k1 k2
264304,10000035.6575,99999837.1759,10.9020857694,0.999897590005,k2
274525,10000035.6575,99999856.1535,10.9020857694,0.999897589619,k2
281534,10000035.6575,99999843.5175,10.9020857694,0.999897589876,k2
286645,10000024.5056,99999843.5175,10.9020857694,0.999897592488,k1
295747,10000024.5056,99999836.0145,10.9020857694,0.99989759264,k2
297897,10000019.5058,99999862.887,10.9020857694,0.999897593265,k1 k2
300416,10000019.5058,99999861.9073,10.9020857694,0.999897593285,k2
303013,10000019.5058,99999847.6634,10.9020857694,0.999897593574,k2
311086,10000020.2134,99999847.6634,10.9020857694,0.999897593409,k1
311874,10000037.7554,99999818.7284,10.9020857694,0.999897589888,k1 k2
312133,10000026.4452,99999813.9525,10.9020857694,0.999897592634,k1 k2
316676,10000026.4452,99999788.6577,10.9020857694,0.999897593148,k2
325750,10000046.626,99999797.9011,10.9020857694,0.999897588234,k1 k2
329073,10000046.626,99999752.2792,10.9020857694,0.999897589161,k2
339185,10000030.5198,99999752.2792,10.9020857694,0.999897592933,k1
344129,10000030.5198,99999743.2953,10.9020857694,0.999897593116,k2
344275,10000030.5198,99999757.3028,10.9020857694,0.999897592831,k2
346514,10000067.5737,99999801.2979,12.9843929617,0.999056074146,f k1 k2
348530,10000067.5737,99999792.3876,12.9843929617,0.999056074701,k2
351409,10000067.5737,99999783.5786,8.21924155891,0.999480477149,f k2
351755,10000046.4324,99999792.4403,8.21924155891,0.999480466578,k1 k2
355411,10000046.4324,99999760.7544,8.21924155891,0.999480465154,k2
361688,10000031.7202,99999756.2847,9.9299589269,0.999999325305,f k1 k2
364979,10000025.3002,99999756.2847,9.9299589269,0.999999325183,k1
365559,10000020.9602,99999789.8333,9.9299589269,0.999999325156,k1 k2
370616,10000006.0326,99999808.4906,10.0628141996,0.99999946415,f k1 k2
372122,10000006.0326,99999783.2605,10.0628141996,0.999999464186,k2
375004,9999981.02069,99999753.2759,10.0628141996,0.999999464652,k1 k2
377425,9999974.1676,99999747.8421,10.0628141996,0.999999464776,k1 k2
384727,9999974.1676,99999747.8421,11.0845217382,0.999854353581,f
387175,9999974.1676,99999782.0403,11.0845217382,0.999854352752,k2
395388,9999958.69232,99999752.963,11.0845217382,0.999854357783,k1 k2
400776,9999943.65702,99999773.5446,11.0845217382,0.999854361486,k1 k2
405079,9999980.73792,99999773.5446,11.0845217382,0.999854351121,k1
405584,9999980.73792,99999782.1512,11.0845217382,0.999854350912,k2
414043,9999974.13997,99999782.1512,11.0845217382,0.999854352757,k1
422398,9999968.6296,99999791.6613,11.0845217382,0.999854354066,k1 k2
424770,9999997.62392,99999804.5026,11.0845217382,0.99985434565,k1 k2
425502,10000002.1893,99999804.5026,11.0845217382,0.999854344374,k1
428101,10000002.1893,99999793.8125,9.55370104832,0.999971582653,f k2
432266,10000032.7331,99999793.8125,9.55370104832,0.999971586395,k1
435097,10000023.7171,99999793.8125,9.55370104832,0.99997158529,k1
435918,10000045.9759,99999778.4505,9.55370104832,0.999971587854,k1 k2
435926,10000048.1543,99999778.4505,9.55370104832,0.99997158812,k1
444009,10000064.7417,99999808.1391,9.55370104832,0.999971590468,k1 k2
460483,10000064.7417,99999819.2175,9.55370104832,0.999971590585,k2
463984,10000049.8605,99999819.2175,9.55370104832,0.999971588762,k1
464261,10000037.8304,99999819.2175,9.55370104832,0.999971587289,k1
