gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.779539262101,0.00261555896499,381.360041941,383.622290474,133.699868085,621,621,318
1,0.785528800797,0.00221281064054,740.210692398,722.95496681,252.944095325,637,637,426
2,0.783560224787,0.00186271253842,1203.00180381,1137.59604461,425.791309207,633,633,446
3,0.784592122943,0.00184753964928,1761.26305334,1533.03703885,510.305727489,639,639,488
4,0.783609966914,0.00153289645383,2203.23714867,1952.2885498,698.362397959,647,647,515
5,0.781066090361,0.00139560628694,2504.70402156,2252.73696931,804.853087427,625,625,499
6,0.778030578903,0.00137473549211,3001.47005537,2702.41274047,974.442712379,640,640,500
7,0.777984614199,0.00134507424044,3607.75567587,2903.33417547,1081.37590188,617,617,496
8,0.776538024415,0.00118093385633,3874.3676683,3240.8999742,1147.97868598,644,644,521
9,0.779467030688,0.0012457136175,4329.12938296,3469.18151882,1098.8203384,630,630,528
10,0.778648289342,0.00150893162223,4727.65490158,3508.83744702,1300.40259462,623,623,511
11,0.776481897641,0.0013235991558,5281.61929627,3735.54803927,1336.71197412,636,636,531
12,0.776304634902,0.00114582373965,5395.0805416,4127.33818509,1505.59386369,632,632,534
13,0.775908616332,0.00123895803422,5731.93081777,4859.34490924,1656.29873792,616,616,515
14,0.772609212569,0.00117232905994,5916.2082194,5240.72587651,1806.61925526,637,637,525
15,0.776255163343,0.00149298719119,6584.6424924,5714.91689086,1994.23629272,627,627,523
16,0.775127247275,0.00107160203044,7095.46044927,6291.40832246,1825.33728861,631,631,539
17,0.774717963316,0.00119782822915,7090.965694,6373.81987712,2053.421982,627,627,538
18,0.776497209729,0.00133893512833,7756.95722979,7046.59003343,2219.6224362,625,625,551
19,0.775087168464,0.00118114896689,8112.32284135,7278.33070306,2302.10499324,644,644,560
20,0.775047224835,0.00121604752072,8641.6799002,7696.98129867,2416.41111038,624,624,541
21,0.777097316976,0.00127789573038,9038.14093787,7990.49361524,2311.46951687,640,640,555
22,0.777573304984,0.00125007967695,9453.1940681,8324.89183335,2299.27891307,626,626,553
23,0.774496559441,0.00111293851779,9393.53437178,8652.40112774,2412.67048054,637,637,550
24,0.77396325531,0.0011760772195,10722.5611422,8849.41330929,2496.51367066,618,618,535
25,0.772381861447,0.000996425384164,10997.807535,9301.47985714,2599.34967589,644,644,557
26,0.771912257304,0.000958180539201,11051.4550594,9841.85827644,2476.36501468,634,634,556
27,0.771106714958,0.00103997514758,11358.3721552,9583.24218524,2924.46953443,629,629,553
28,0.771555081494,0.00109596556081,11934.492226,10406.0395611,3270.47483796,616,616,544
29,0.771855745568,0.00106660051229,11618.6696693,11203.8424615,3058.10389943,648,648,567
30,0.772895430785,0.00116564794854,11253.9384982,12467.8127724,3119.7892642,639,639,571
31,0.773529958492,0.00124539470132,11605.8052748,12000.1698584,3247.93019959,627,627,554
32,0.768478481184,0.00105199038752,11465.591535,11507.118245,3523.10948016,638,638,537
33,0.771962036694,0.00118090719948,12986.5635481,11670.5112943,3729.9362467,623,623,543
34,0.770762107655,0.00103233549189,12653.446497,12610.9530157,3679.57150933,630,630,547
35,0.770742770767,0.00111876783459,12960.1000994,13638.8895438,3731.05115663,628,628,538
36,0.773601969421,0.00124630196094,13079.9240961,14677.602925,3467.4968309,617,617,548
37,0.772045633068,0.00125134040829,13513.9395721,14277.5890701,3903.95345914,625,625,547
38,0.771893727771,0.00115984561194,13782.9994835,15376.1473796,4072.01512825,618,618,540
39,0.773030633209,0.00123165535865,13718.3578003,15688.5858642,3865.54137934,618,618,540
40,0.772857456641,0.00117377228768,15307.4364074,15846.1016997,3837.89961611,634,634,553
41,0.772994040175,0.00121416944422,15426.9323975,16857.8470574,4200.88609066,653,653,575
