gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.999243001839,3.23486057273e-07,0.0388314673795,0.0409953313004,0.0324389254508,644,644,644
1,0.998857313628,8.02108121541e-07,0.0823496859186,0.0763637437816,0.0765562761286,622,622,622
2,0.998505728194,1.09430388954e-06,0.129605291886,0.114663711286,0.121389420426,633,633,633
3,0.998380796696,1.56652846641e-06,0.175393203139,0.161678686085,0.15227689851,647,647,647
4,0.998158452911,2.0615344919e-06,0.220995352331,0.207688754669,0.198816506809,629,629,629
5,0.998000968534,2.32176010674e-06,0.259327010059,0.246102549552,0.231952971787,623,623,623
6,0.997685196742,3.0400214201e-06,0.335552991099,0.26587797134,0.310997291881,625,625,625
7,0.997657905466,3.02692469005e-06,0.358885579371,0.324539895265,0.314562943876,639,639,639
8,0.997486794339,3.49247139547e-06,0.377850155797,0.36557595638,0.363412208917,631,631,631
9,0.997360127839,3.9479530068e-06,0.390641658691,0.401835474893,0.400176601567,651,651,651
10,0.997169400734,4.04272875666e-06,0.434459437462,0.443418676313,0.438221070285,655,655,655
11,0.997054011172,4.27380484465e-06,0.480665094043,0.497528960438,0.470473299509,619,619,619
12,0.996766052514,4.84191939464e-06,0.486397396323,0.593701318372,0.555730304846,628,628,628
13,0.996545812305,5.63871854376e-06,0.558172709704,0.676497031525,0.639442293572,630,630,630
14,0.996646178462,6.09323282046e-06,0.648119805227,0.748251985226,0.627748913462,632,632,632
15,0.996575805911,6.36218245283e-06,0.758091245129,0.800491208116,0.651983545583,628,628,628
16,0.996505007093,6.16604076741e-06,0.802230431374,0.866417010885,0.662704453485,636,636,636
17,0.996308895172,6.93678517338e-06,0.877631612239,0.92525387105,0.738780623798,641,641,641
18,0.996217554054,7.23950388445e-06,0.832622166338,0.933259867903,0.773696714047,624,624,624
19,0.996290852058,7.04396664141e-06,0.823803447353,0.909172453024,0.74280489018,623,623,623
20,0.996242975966,8.38616234022e-06,0.817798802576,0.894562792999,0.795066055223,633,633,633
21,0.996107790106,8.50721463065e-06,0.796964082654,0.947537291686,0.835109792802,634,634,634
22,0.996096479446,8.85229473756e-06,0.853902102261,0.98059103543,0.857794272984,617,617,617
23,0.996302473619,7.80237836855e-06,0.90061294597,0.98356644183,0.767343248754,637,637,637
24,0.996121054573,8.41153590797e-06,0.946223075729,0.988274283894,0.843707534707,599,599,599
25,0.99591658125,9.05976521962e-06,0.906299279565,1.02267154779,0.925102719477,625,625,625
26,0.995702161284,9.65329152891e-06,0.955972260191,1.00173628403,1.00512443225,641,641,641
27,0.995699759898,1.02038927747e-05,0.935262827519,1.05230759199,1.01813951264,620,620,620
28,0.995664095671,1.09052365384e-05,0.997837308082,1.10061371468,1.04650115839,629,629,629
29,0.995574038206,1.12740889005e-05,1.0352238491,1.11173681004,1.10460901861,637,637,637
30,0.995594913141,1.13669725736e-05,1.0144276157,1.26847969266,1.0906689864,640,640,640
31,0.995646223092,1.19561257898e-05,1.10059817678,1.23953769986,1.07401702164,635,635,635
32,0.995712192308,1.11026548093e-05,1.02281514017,1.31790089901,1.01844207598,622,622,622
33,0.995524048351,1.17232548207e-05,1.10030785967,1.32578250091,1.09223157702,647,647,647
34,0.995246380644,1.29967854237e-05,1.27039709198,1.40270501595,1.20566708021,628,628,628
35,0.995010402153,1.26316810139e-05,1.31387034276,1.50245614142,1.29099344747,631,631,631
36,0.994975022138,1.37478310338e-05,1.29557387968,1.56432688148,1.3367847481,632,632,632
37,0.995033224938,1.410373116e-05,1.42661267114,1.69791980847,1.29000503718,630,630,630
38,0.994989722753,1.39740259534e-05,1.42590207288,1.81785665857,1.31604371818,619,619,619
39,0.994927150342,1.49831164737e-05,1.41998185416,1.81316128771,1.36213882,621,621,621
40,0.994837221233,1.51410405112e-05,1.45997552924,1.93725469877,1.39285588304,631,631,631
41,0.994834225616,1.75123383556e-05,1.32749636521,1.96946991478,1.45508086295,643,643,643
42,0.994521438193,1.98141330098e-05,1.26721548972,2.01584905073,1.61734037628,624,624,624
43,0.994474967969,2.01250191693e-05,1.30150305205,2.12268281624,1.64680392427,632,632,632
44,0.994393536738,2.27239134151e-05,1.32389955234,2.17733238747,1.73999135854,648,648,648
45,0.99451536731,2.28368406136e-05,1.46659731398,2.27751686479,1.67611533067,634,634,634
46,0.994447808957,2.5013217472e-05,1.44356512986,2.34063895256,1.7302951933,635,635,635
47,0.994320900674,2.46893978564e-05,1.44385823944,2.51763151688,1.7811096429,631,631,631
48,0.994190090129,2.42096326566e-05,1.56009717218,2.797333703,1.80313277438,634,634,634
49,0.993987648475,2.52193482177e-05,1.57096816342,2.83622962501,1.8994918497,641,641,641
50,0.993829113985,2.56386413289e-05,1.7575173605,2.92662972773,1.97767894949,622,622,622
51,0.993760608464,2.49087388373e-05,1.82314253808,3.18478418387,2.0153985374,647,647,647
52,0.993681064682,2.42152094494e-05,1.82894932075,3.28771744468,2.04018899366,648,648,648
53,0.993645115244,2.33260711202e-05,1.90452692035,3.23206631801,2.07043685144,642,642,642
54,0.993621074508,2.55535097209e-05,1.90763370162,3.42860368708,2.12547435156,627,627,627
55,0.993577625333,2.63575803676e-05,1.77734790093,3.54791024436,2.21494110497,631,631,631
56,0.993432147181,2.74210141227e-05,1.95109424688,3.47235002944,2.35648773136,653,653,653
57,0.993410979357,3.06147125264e-05,2.02179561859,3.55908957657,2.34355988893,634,634,634
58,0.993263528509,3.04901219668e-05,2.05925740342,3.44139560621,2.39554099738,607,607,607
59,0.993040626965,3.05177580058e-05,2.10247322981,3.59190190258,2.47129748786,652,652,652
60,0.992731932976,3.2559695753e-05,2.25357882953,3.7144676566,2.57461627746,635,635,635
61,0.992825063402,3.23487904797e-05,2.2875310102,3.83226091932,2.51126611084,645,645,645
62,0.992830418186,3.44831316987e-05,2.17098889686,4.12857209945,2.50072866914,625,625,625
63,0.99293011148,3.29797138642e-05,2.24894700585,4.3835375031,2.5268686547,638,638,638
64,0.992736185559,3.31256726441e-05,2.3237579505,4.30875755143,2.64405317138,650,650,650
65,0.992742198091,3.31027955878e-05,2.46925822928,4.57839069409,2.6725551633,634,634,634
66,0.992339865566,3.79824263385e-05,2.63386592169,4.49831783296,2.95054702634,644,644,644
67,0.992376631218,3.55687884921e-05,2.54677639514,4.93446256691,3.08027362568,616,616,616
68,0.99232014677,3.58538073725e-05,2.66807638691,5.17286962471,3.01449693451,627,627,627
69,0.992152353204,3.52944032561e-05,2.70173562679,5.57368654196,3.17799617072,622,622,622
70,0.992108277288,3.36931349249e-05,2.74383473768,5.62975906515,3.10832891471,634,634,634
71,0.992013659249,3.51126143234e-05,2.86183654026,6.27534699366,3.14011184653,645,645,645
72,0.992069595462,3.51843362756e-05,2.8701158391,6.16711514142,3.13213168021,624,624,624
73,0.991776709293,3.69639243678e-05,3.10117462504,5.88245212824,3.30266936846,636,636,636
74,0.991632031677,3.73775465472e-05,3.11662832202,6.24174494158,3.46235033693,646,646,646
75,0.991478715567,3.79810399392e-05,3.44441404746,6.05467459468,3.56868618077,623,623,623
76,0.991547082857,3.80759368528e-05,3.46787962746,6.15127852307,3.4844997442,626,626,626
77,0.99167536359,3.71845602054e-05,3.37773982685,6.47182812258,3.47002653338,638,638,638
78,0.991530577112,3.88626315607e-05,3.38993034842,6.28894775191,3.57580973928,631,631,631
79,0.991929881623,3.63348844087e-05,3.44145631818,5.94155590515,3.34363881536,634,634,634
80,0.991879324578,3.51649424641e-05,3.35297595326,5.92974395689,3.33939169105,652,652,652
81,0.991718295127,3.61355262197e-05,3.2054491429,5.12779173984,3.49154575922,630,630,630
82,0.991561954072,3.95153208147e-05,3.36554601852,5.28466088426,3.60642308391,639,639,639
83,0.991337393799,3.92204179809e-05,3.22824082302,5.35571072324,3.81140403078,652,652,652
84,0.990983321859,4.21432102745e-05,3.40876577653,5.32853837528,4.07049639219,619,619,619
