gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.890909753135,0.0167148081974,389.221967655,353.315431635,230.509829286,608,608,460
1,0.88559720961,0.015789886922,745.04797779,775.271947009,449.250992333,625,625,473
2,0.892337557062,0.0137377081118,1018.66665793,1119.23729421,568.234468547,627,627,516
3,0.898914355797,0.0116475540771,1473.40170112,1474.95437341,745.868918055,619,619,524
4,0.897255087148,0.00984541166452,1816.56865272,1851.28742069,923.532227731,622,622,533
5,0.893163686474,0.00974030171824,2161.04967196,2437.11793881,926.920542976,636,636,556
6,0.895683334218,0.00895645686069,2521.71163863,2906.58054064,1000.77431294,644,644,569
7,0.90169298272,0.00763077122645,2699.94300596,3287.25375503,1141.20053153,647,647,585
8,0.896614317626,0.00797762717617,3334.81537643,3864.58265053,1278.12514103,629,629,566
9,0.887116709962,0.00872610826081,3764.86293904,4137.49099709,1450.59131953,638,638,566
10,0.890829479228,0.00816495746579,4163.34098337,4703.85051968,1575.59196525,631,631,564
11,0.896315479968,0.00635766806222,4254.88660275,5075.24492058,1629.07889729,627,627,576
12,0.892148144993,0.00660645940628,4677.17344592,5510.77759533,1726.61770419,634,634,580
13,0.889368896247,0.0070952122663,4768.0239421,6053.05596258,2008.04627745,621,621,565
14,0.893158326283,0.00611986440923,5367.70114257,6956.06963903,2105.88046025,640,640,589
15,0.888535690024,0.00737255621148,6035.85251616,7507.92111427,2079.48687916,640,640,578
16,0.89040746519,0.00675862983804,6210.03926509,8424.08815669,2030.95607275,637,637,578
17,0.893386356883,0.00660617049734,6792.2769094,9202.19536349,2168.53645976,627,627,575
18,0.895104970177,0.00619780251079,7428.09480716,9603.00253958,2309.0592238,646,646,594
19,0.887729561894,0.00716021744801,8205.83524996,10239.095664,2302.02499117,634,634,578
20,0.895217415823,0.00550191851968,8659.801665,10589.3147169,2427.94434891,630,630,585
21,0.892614604644,0.00574978488382,8778.410343,10870.9086003,2523.9667473,613,613,571
22,0.886331011829,0.00640876548909,9483.70011737,11939.0787294,2604.46200938,635,635,582
23,0.892360324795,0.00500553031274,9981.27490566,12851.9435086,2791.72482919,628,628,590
24,0.889488402129,0.00496129025303,10874.5394017,12472.1901072,2615.971408,620,620,582
25,0.889499472544,0.0052458153293,11704.6551266,13585.2904404,2779.20013543,644,644,606
26,0.888062306182,0.00562014754583,12519.3563928,14358.6297698,3068.60717992,624,624,583
27,0.884212508363,0.00628339193185,13436.6823446,15072.1042695,3062.79260719,631,631,577
28,0.885427543378,0.00628880537293,13389.3064895,14679.2313097,3319.32384418,622,622,579
29,0.890309725697,0.00494957081091,14226.3759105,15565.0075847,3196.85036844,620,620,585
30,0.887882688888,0.00527542737573,14374.14822,16543.7691546,3307.50225127,639,639,598
31,0.893879267699,0.00413171759782,15276.4455755,18450.3564974,3076.67163092,624,624,597
32,0.889290393443,0.0045821191042,15868.0757199,18799.4944318,3250.00994958,633,633,604
33,0.884981041892,0.00524918944147,16943.4375055,19199.7432224,3367.14013714,621,621,582
34,0.886916850003,0.00501476857769,15874.8139762,18569.9494491,3338.31316663,640,640,600
35,0.878991977514,0.00685920389181,16081.2933406,18997.0660502,3489.11404159,624,624,568
36,0.884160382837,0.00620712767184,16621.140279,19829.2170922,3438.67833535,611,611,562
37,0.890183122686,0.00547116189585,16291.7674256,21307.9993621,3450.82536241,651,651,609
38,0.88350743785,0.00570849241594,17314.5526607,22148.4125685,3900.5620044,627,627,578
39,0.883818593648,0.00552618334503,17251.6787796,23195.2890047,3545.80426287,644,644,597
40,0.879603799139,0.00566763203658,17099.6656471,24731.6703479,3835.67403167,618,618,576
41,0.884406781833,0.00489097625725,17548.4635904,23924.5637104,3928.00634599,638,638,600
42,0.878874856081,0.0057626131836,17210.6574391,23408.7631557,4396.69491267,647,647,599
43,0.884744969182,0.00518862865029,17738.6123714,24277.9619217,4872.72072169,638,638,601
44,0.881813001112,0.00520920505107,18305.7467697,25845.5479225,4484.35374659,623,623,582
45,0.88173347167,0.00506585837617,17334.5891164,26865.915145,4306.42298724,630,630,591
46,0.885257335608,0.00470648389178,16893.5129558,26306.7423042,3941.13466933,643,643,607
47,0.88484293333,0.0045408808467,16890.8635859,24822.2237242,3839.44771755,631,631,600
48,0.884272287934,0.00484906257845,16068.8629114,26151.1759254,4223.75568275,633,633,598
49,0.884668737633,0.00470857566383,15641.2792078,24362.1226243,4193.01597529,646,646,611
50,0.892511625535,0.00372855527683,14315.4869844,25210.0763069,4387.23303362,627,627,603
51,0.888930710195,0.00415248538467,14450.3799384,26533.185005,4181.52604643,616,616,587
52,0.886046770595,0.00447643301105,14184.6646582,27685.12127,4346.47321061,638,638,607
53,0.880716788828,0.00504361642195,14892.2778266,30019.9435939,4398.01720167,649,649,610
54,0.884094615436,0.00466507079962,15811.5543355,28678.3918732,4787.92230361,634,634,600
55,0.884837184498,0.00513983262803,16745.7202479,29650.170415,4509.48812573,637,637,595
56,0.889224715276,0.00442525368901,18450.9515077,31476.5522028,3887.69147237,620,620,585
57,0.890558399219,0.00422303778721,18914.1980692,30644.8353576,3596.7624676,620,620,588
58,0.893813781686,0.00366782781649,18955.2533674,31648.5074249,3371.04002589,616,616,591
59,0.891187153125,0.00420786049061,19063.1787136,31307.84378,3569.09583742,634,634,605
60,0.891021773037,0.00422213099398,18139.6773484,32260.7776411,3432.20225503,644,644,610
61,0.887406022792,0.00504349715429,17754.0571834,34162.5909178,3997.35887456,613,613,577
62,0.884369206394,0.00625646816816,17460.8492337,34948.6331769,4067.90742828,644,644,599
63,0.887664948148,0.00534738779397,19003.4833744,33778.9280165,4026.59706786,635,635,595
64,0.889071338948,0.00476514205118,19904.6989605,32087.180581,3853.16264642,646,646,612
65,0.885630311426,0.00514405660816,21059.2540954,31004.1742268,3896.84026721,634,634,602
66,0.887916028163,0.00454897588089,22607.0719904,33177.7832943,4185.98410143,627,627,596
67,0.884407944848,0.0046287837732,23714.5148633,31782.9323254,3835.47293199,625,625,588
68,0.882459006098,0.00476365288418,24952.5873664,31262.3185845,3710.26987569,627,627,589
69,0.887417301025,0.00432834435394,27551.6103549,32034.6606638,3822.08870928,645,645,617
70,0.889377683602,0.00449974832912,25586.3654679,35123.789165,4124.59136219,638,638,613
71,0.881718134963,0.00544177928383,27794.5801565,34513.7672343,4466.31216988,628,628,586
72,0.886312264385,0.00448412507643,28604.2455888,35841.9771825,4325.10448112,635,635,600
73,0.880377251243,0.0057798787021,28686.6702911,36039.6061282,4251.31016934,635,635,594
74,0.886480527595,0.00467405979043,30861.683558,37531.7570221,4254.47767002,624,624,593
75,0.883613925267,0.00564992876998,31795.1533502,36988.814767,3915.59247943,633,633,586
76,0.881034825802,0.00508396263895,30985.3931765,36694.5260641,4210.92268015,630,630,588
77,0.884610252565,0.00481905540914,29947.9726567,37757.1059795,4205.40328268,625,625,586
78,0.892471939135,0.00360899409019,29613.6749401,41702.9856095,4194.86758761,637,637,615
79,0.887433666738,0.00427903348321,31201.8747798,43178.1097295,4112.29993208,614,614,588
80,0.887252484678,0.00480279376393,31464.7748709,42921.7340801,4210.80301409,623,623,594
81,0.883308846321,0.00627430869622,32341.2544754,42093.79508,4304.86307468,629,629,580
82,0.885427089671,0.00602427768937,32779.7147939,37778.8435773,4328.24921222,628,628,584
83,0.881885728804,0.00614676649679,32402.3320615,37092.7616183,4213.71246507,631,631,578
84,0.887480000405,0.00582683689506,32601.5427023,37720.8140548,4148.93065172,633,633,590
85,0.891128808774,0.00476895911366,30534.8440338,39508.6779105,4009.3847975,631,631,597
86,0.884160888251,0.00616528507319,30744.8867061,42078.3086847,3670.88018299,628,628,583
87,0.88380901851,0.00590533923456,30579.777041,41801.8195865,4118.97842049,625,625,580
88,0.883442471005,0.00591970296865,31847.3610164,40223.1396239,4686.13579747,620,620,570
89,0.884906891902,0.00518668589083,31373.6833974,41680.6115418,4779.97796185,623,623,585
90,0.88708956847,0.00489942350398,31467.2507004,41842.5926504,4529.63900765,634,634,598
91,0.886660714158,0.00418534622852,30171.5547274,42165.1766468,4722.03372044,623,623,592
92,0.88595446846,0.00489179810309,32835.6828459,41622.5834099,4756.33505838,630,630,596
93,0.882460915968,0.00525063973055,34028.3861595,42250.5415455,5260.98695332,624,624,590
94,0.889238500734,0.00407090302296,35669.2222305,42262.8456007,5001.00244297,633,633,608
95,0.884536537931,0.00554244414175,34952.3575122,44567.2958759,4933.118178,634,634,599
96,0.883873389817,0.0052613893078,35503.7824298,42934.9128455,5801.36523298,626,626,588
97,0.874685154045,0.00638241408443,34618.6704671,43690.2913805,5781.89080769,628,628,576
98,0.883888615319,0.00586898176256,32511.145093,45469.7959542,5480.96333411,629,629,584
99,0.883522775761,0.00541727907136,32832.9081774,45763.6725863,5760.14378707,629,629,589
100,0.886753835683,0.00482596726295,31611.2830676,45406.4294907,5890.30877482,635,635,604
101,0.889858051936,0.00420531425497,34502.1710736,48258.9910647,5536.68904328,635,635,609
102,0.884798901288,0.00523448584322,35071.2027438,48397.6816965,5450.86460363,640,640,604
103,0.881872312667,0.00500414914801,38601.0188318,51747.3354172,5287.28228168,631,631,592
104,0.885011657036,0.00463249595258,37034.9162785,50207.2881223,4776.10170793,643,643,611
105,0.883305738855,0.00402304176837,38602.6064108,49257.2133969,4626.61684326,644,644,613
106,0.891004321147,0.00370650294447,37532.2917191,46796.9364559,4620.03651762,639,639,616
107,0.888845114256,0.00376684376198,39899.138089,48605.9481194,4622.45112728,638,638,618
108,0.8827760692,0.00479188847189,39054.1929164,53077.6414057,4922.22298064,628,628,597
109,0.882850622301,0.00513626165266,38370.7625397,54815.5575567,5088.18547627,634,634,595
110,0.878531412367,0.00587844847216,38781.6453192,54503.9182581,5360.5466258,623,623,577
111,0.889284016794,0.00480451499857,37716.1055754,55143.5885026,4647.78212683,623,623,592
112,0.887967170229,0.00452913529272,36623.2720803,53712.7356913,4967.91945902,635,635,604
113,0.887730077831,0.00483707877942,37736.7637211,53421.5019222,4862.82980185,642,642,607
114,0.889725112793,0.00447938938514,36567.7260016,52706.0483805,4784.04102821,629,629,602
115,0.884369713728,0.00536133324551,37760.8323721,56484.4845389,4762.61533337,628,628,591
116,0.879867247692,0.00591938377893,36885.9974004,55925.5314689,5310.56969497,631,631,580
117,0.885935893915,0.00492264740456,37382.3945911,57603.914947,5555.17943254,625,625,592
118,0.885420025869,0.00485254295098,37476.0584479,57624.3122344,4929.54854559,640,640,601
119,0.88756962642,0.00450959558154,37811.3032106,57105.504544,4647.36243764,634,634,602
120,0.887427295342,0.00436863438594,41811.2319897,55498.9645955,4867.45909512,628,628,599
121,0.886508010923,0.0051004828699,43374.4390829,61449.7228481,4086.84806754,643,643,608
122,0.886261874345,0.00501529369227,43978.6262828,61307.921907,4105.8173702,636,636,601
