gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.999131973971,4.68022450869e-07,0.0413491277998,0.0399640780712,0.044673405725,10000000.0116,99999999.9887,10.0005552267
1,0.998845095595,8.55686715608e-07,0.0812933566341,0.0797298421493,0.0799484339831,10000000.0117,99999999.9922,10.0010679944
2,0.99854724257,1.23470121124e-06,0.118996814905,0.124595697284,0.121216229751,10000000.0275,100000000.005,9.99219927061
3,0.998284513186,1.70841889824e-06,0.151661663153,0.168848576033,0.165711633498,10000000.0196,100000000.009,9.96282034845
4,0.998030042332,2.43198590813e-06,0.194253715113,0.212396098949,0.226278796094,10000000.0116,100000000.007,9.99128747772
5,0.997830931646,2.77874961574e-06,0.239988668963,0.243393483165,0.270217405638,9999999.99953,100000000.003,10.0116445005
6,0.997645861747,3.2489241618e-06,0.291560071605,0.265606207446,0.315281114184,9999999.98596,100000000.022,10.0225725974
7,0.997450129487,3.92009658467e-06,0.328932442159,0.313837582268,0.371669318982,10000000.0019,100000000.028,10.0000167262
8,0.997306590244,4.11415862069e-06,0.36285324003,0.384056051991,0.405305698556,9999999.99225,100000000.011,9.99985023944
9,0.997247685911,4.22368591244e-06,0.388670392728,0.415637207231,0.421668320466,9999999.98341,100000000.038,10.0098218998
10,0.997207600647,4.62614435978e-06,0.449599843697,0.462447301678,0.438316312853,9999999.99631,100000000.047,9.97410906518
11,0.997092259363,4.57944716203e-06,0.529782942894,0.493259651455,0.467212247727,9999999.95196,100000000.037,9.99284628152
12,0.996970914605,5.3224463008e-06,0.563681715774,0.53421267104,0.510751989006,9999999.90987,100000000.046,9.94988458157
13,0.996846811774,6.05612743781e-06,0.591779853796,0.529366036113,0.563675453258,9999999.87047,100000000.048,9.95230814014
14,0.996792056086,6.35383182223e-06,0.627076195877,0.535248263857,0.593528095852,9999999.86633,100000000.053,9.98946471671
15,0.99667116281,7.02981550315e-06,0.702047830952,0.588404196654,0.635454803316,9999999.86104,100000000.044,9.97773924785
16,0.996617304183,7.10718897437e-06,0.712908057256,0.641760292935,0.656494853415,9999999.82537,100000000.063,10.011329575
17,0.996466245284,7.17307537319e-06,0.795380393798,0.69388726296,0.699305391056,9999999.83674,100000000.071,10.0473404954
18,0.996274811028,8.23639165674e-06,0.783546562116,0.777250364961,0.779698242301,9999999.85295,100000000.073,10.0496249376
19,0.996227888114,8.70666306171e-06,0.825530682836,0.842905771066,0.80370262763,9999999.81437,100000000.08,10.042097796
20,0.996238051218,7.90949498061e-06,0.86079260998,0.871573648466,0.783843689117,9999999.77591,100000000.107,10.0848576615
21,0.996092297625,8.1433665989e-06,0.865753369549,0.961666774791,0.833111908098,9999999.78614,100000000.152,10.1018566336
22,0.995915883558,8.75645219645e-06,0.930885708596,1.06465248583,0.900945711663,9999999.80816,100000000.159,10.1022794094
23,0.995813929312,8.62635510279e-06,0.930888454519,1.0644109764,0.92733218214,9999999.84592,100000000.204,10.0866317981
24,0.995743369233,9.12923333875e-06,0.972060133193,1.07785589734,0.966870571326,9999999.82909,100000000.218,10.0717785078
25,0.995708369547,9.47508362383e-06,0.900021875617,1.03182467097,0.992709442357,9999999.85889,100000000.233,10.1047137008
26,0.995514279717,1.01253155741e-05,0.86953765215,1.02324932506,1.06135012503,9999999.87457,100000000.243,10.0709232589
27,0.995536731157,1.05973580691e-05,0.929134350822,1.09528233325,1.06714015163,9999999.86462,100000000.226,10.0716405372
28,0.995228122109,1.08813023071e-05,0.918733500339,1.1329932068,1.17255151406,9999999.85335,100000000.239,10.1110762189
29,0.995238339419,1.15336434482e-05,0.923051437187,1.18475638558,1.18139441354,9999999.8939,100000000.198,10.0727069931
30,0.995017413744,1.27539384641e-05,0.997574828173,1.18703662509,1.28785954085,9999999.84094,100000000.295,10.0579023137
31,0.994677758696,1.45619731772e-05,1.04994249668,1.23767429696,1.44283046007,9999999.86014,100000000.268,9.98947575169
32,0.994597700389,1.60746966918e-05,1.05795483605,1.25733378783,1.50619453361,9999999.89565,100000000.304,9.98288155131
33,0.994553561247,1.66936743708e-05,1.16772358022,1.37381730257,1.54080811375,9999999.88929,100000000.344,9.95176246762
34,0.99458920047,1.71144096553e-05,1.17285925753,1.37981852103,1.54210078115,9999999.84888,100000000.371,9.98427730924
35,0.994365347571,1.86774955304e-05,1.11992254396,1.34912079714,1.6504091195,9999999.87491,100000000.36,9.95806709073
36,0.9943518593,1.86316745003e-05,1.19253761325,1.38837168529,1.66585789653,9999999.87249,100000000.383,9.96366936406
37,0.994319666624,1.73631402997e-05,1.29263019098,1.41361956184,1.66003011123,9999999.88892,100000000.421,9.94266961142
38,0.994090769907,2.0218569613e-05,1.35840138468,1.42170230019,1.80153462953,9999999.88354,100000000.448,9.87813320348
39,0.994048991744,2.03931932967e-05,1.50112467502,1.37757311569,1.84725228691,9999999.8442,100000000.501,9.91601726974
40,0.994127239822,1.91061495684e-05,1.41992653293,1.42143663197,1.77781157154,9999999.84907,100000000.465,9.91722213867
41,0.994207176178,1.93572879931e-05,1.43332728445,1.4764601564,1.75838612805,9999999.83188,100000000.431,9.93814976222
42,0.994030667676,2.05986998878e-05,1.35246279672,1.60742782031,1.86824360141,9999999.80354,100000000.445,9.96077679046
43,0.994028921672,2.04692588523e-05,1.49708049009,1.70066580224,1.91260389109,9999999.83438,100000000.555,10.0119225841
44,0.99374751059,2.15290820274e-05,1.54032028864,1.75433690841,2.02601455326,9999999.81199,100000000.487,9.92989764544
45,0.993611842509,2.08002812106e-05,1.58947192164,1.74818107241,2.09157370389,9999999.84682,100000000.446,9.98840167343
46,0.993999152484,1.91538447153e-05,1.61917756834,1.79774536381,1.87937031023,9999999.84003,100000000.463,9.98025863583
