gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.999157450209,4.1887916186e-07,0.0369541086462,0.0408418666005,0.0412935614465,634,634,634
1,0.998804608773,8.2729291869e-07,0.0698794998243,0.0802094216506,0.0824084670918,624,624,624
2,0.998577010669,1.21006843171e-06,0.109391204415,0.120419783735,0.117910239476,636,636,636
3,0.99831274775,1.58031008746e-06,0.163526395023,0.166587528578,0.161857411992,629,629,629
4,0.998043847612,2.0180032766e-06,0.189016700261,0.207892256772,0.212726110338,638,638,638
5,0.997922215836,2.45480825231e-06,0.223729658251,0.260089630547,0.247379727335,632,632,632
6,0.99780765953,2.57153207165e-06,0.261159221247,0.267036772744,0.270254163027,642,642,642
7,0.997605907512,3.24472325565e-06,0.324541434123,0.311283124197,0.328752587841,641,641,641
8,0.997508037674,3.42291144933e-06,0.37955359764,0.339495317362,0.35274609071,655,655,655
9,0.99747323428,3.9058178808e-06,0.452459209558,0.38427355068,0.376968016727,636,636,636
10,0.997378818849,3.95653792533e-06,0.497697207304,0.420393673771,0.399122316231,635,635,635
11,0.997324166128,3.96844488445e-06,0.578637255197,0.463050596031,0.409068744117,642,642,642
12,0.997187012026,3.96064298756e-06,0.642061561149,0.537087785492,0.431122547308,627,627,627
13,0.997114612727,4.34112217843e-06,0.72099783784,0.510573722873,0.459505625211,617,617,617
14,0.99698253104,4.77786484019e-06,0.785621855578,0.543933561922,0.500421227245,622,622,622
15,0.99677562295,5.29956956722e-06,0.835250686703,0.585425737065,0.567467502539,615,615,615
16,0.996829932569,5.10359887354e-06,0.77784821449,0.619044465231,0.549936983258,610,610,610
17,0.996696962325,5.56102544094e-06,0.825462673677,0.674971765189,0.592016633672,627,627,627
18,0.996645489873,5.79002944552e-06,0.808160688869,0.721820302215,0.614645659591,621,621,621
19,0.996702214072,6.23753536976e-06,0.887701843689,0.766527097016,0.620417234072,633,633,633
20,0.99663652486,6.45962203796e-06,0.965239497546,0.857142049254,0.646298321794,634,634,634
21,0.996465426228,7.3113873791e-06,0.993509199901,0.887622116425,0.717513898137,648,648,648
22,0.996206837029,8.096837884e-06,1.00505756993,0.889088675713,0.831184141276,637,637,637
23,0.99621346693,8.47790614971e-06,1.05347061538,0.859338652069,0.838616528053,635,635,635
24,0.996161345643,8.30260594964e-06,1.13805549883,0.903814821289,0.847514155801,639,639,639
25,0.996029813326,8.78028339914e-06,1.27529556108,0.921303518709,0.898152214652,645,645,645
26,0.995878328476,9.00677077763e-06,1.23052852384,0.959207823732,0.960769122857,624,624,624
27,0.995720170233,8.94359853169e-06,1.08759755555,1.0614337318,1.00321891814,631,631,631
28,0.995712642464,9.45918833118e-06,1.2133439249,1.03866632167,1.03984135058,630,630,630
29,0.995687412834,9.88037471191e-06,1.31107716063,1.14093156575,1.06532609359,628,628,628
30,0.995541433669,9.53476340637e-06,1.43331301857,1.17317533898,1.09886150202,618,618,618
31,0.995424891636,1.10243414787e-05,1.45199365005,1.07605823977,1.2006081647,634,634,634
32,0.995437656307,1.04840082252e-05,1.47277604471,1.04242369249,1.16791362934,636,636,636
33,0.995542324591,1.06851109397e-05,1.57603440488,1.02868210033,1.15368113369,645,645,645
34,0.995656461826,1.02660062588e-05,1.60850910164,1.02458260082,1.10299336762,632,632,632
35,0.995614856877,1.04750675627e-05,1.51552507266,1.02875535633,1.11625730427,637,637,637
36,0.99558017026,1.06990876479e-05,1.46291449396,1.11635254095,1.12642579951,636,636,636
37,0.995604986207,1.05258160725e-05,1.51058792564,1.1644034813,1.09366362598,624,624,624
38,0.995435345887,1.11493732881e-05,1.63145559812,1.12647037032,1.17230507919,647,647,647
39,0.995365617069,1.20990188136e-05,1.6425505859,1.11063920798,1.23509106587,624,624,624
40,0.995160206964,1.34433894558e-05,1.54653487567,1.05764606194,1.36861218743,629,629,629
41,0.995155797166,1.45179312439e-05,1.65671190626,1.0516960348,1.41887297631,632,632,632
42,0.995047992568,1.45474143303e-05,1.71134519635,1.0916123382,1.45212223461,620,620,620
43,0.995017036714,1.40249847968e-05,1.6685818537,1.04816506605,1.43220969524,622,622,622
44,0.99502136942,1.36214294766e-05,1.79358667353,1.1245950758,1.44274794426,649,649,649
45,0.994957413908,1.41155613329e-05,1.80827395153,1.09616985574,1.47120451136,632,632,632
46,0.99507482464,1.44003069164e-05,1.93260025956,1.10973449354,1.43278217185,625,625,625
47,0.995339064606,1.38290412427e-05,2.00931863835,1.14618827931,1.28615273402,624,624,624
48,0.995162169236,1.33449685699e-05,2.16477492212,1.18414613229,1.34397047977,656,656,656
49,0.995325062912,1.24404278219e-05,2.43418116546,1.27363821963,1.248254388,654,654,654
50,0.995324686048,1.30344141387e-05,2.4767466971,1.3743214082,1.26454837582,643,643,643
51,0.995229526518,1.35978908423e-05,2.54087957994,1.42972623381,1.28947604862,631,631,631
52,0.995166757541,1.44380470262e-05,2.61575676473,1.46924923751,1.34507957668,636,636,636
53,0.995042393197,1.50485279439e-05,2.7599642571,1.58624474304,1.41978182284,618,618,618
54,0.995080076851,1.51293844086e-05,2.65638962783,1.63838590439,1.43021615148,635,635,635
55,0.995076348541,1.42688818438e-05,2.72118468666,1.68064894673,1.38461785764,646,646,646
56,0.99499598108,1.48783063999e-05,2.76986708668,1.64895448908,1.43382316747,645,645,645
57,0.994944773571,1.44106219987e-05,2.7112422663,1.75607822117,1.43744474167,629,629,629
58,0.994675128981,1.54311223755e-05,2.48137249701,1.72029663356,1.5696913929,633,633,633
59,0.994499883762,1.69225866049e-05,2.55427901366,1.77786821088,1.70838934888,638,638,638
60,0.994485631337,1.72585234418e-05,2.62080673087,1.87140748571,1.73904787716,628,628,628
61,0.99445523841,1.81866679598e-05,2.79805036516,1.76935269308,1.80100744562,639,639,639
62,0.994497635502,1.71215842963e-05,2.72430646562,1.79694900053,1.74506594338,627,627,627
63,0.994486894597,1.74362638275e-05,2.56508396975,1.89892363281,1.75644340041,638,638,638
64,0.99448170173,1.79702645544e-05,2.64160553694,1.99621156858,1.81529766707,642,642,642
65,0.994554623166,1.85361266403e-05,2.81624023868,2.04684035053,1.79295306525,642,642,642
66,0.994566874514,2.02573178416e-05,3.03304689491,2.16951602998,1.83984688018,630,630,630
67,0.994443874701,1.9965642648e-05,3.2430074951,2.22877774261,1.88157506749,638,638,638
68,0.994540132108,1.83211817262e-05,3.37610843479,2.16132658529,1.80717631254,631,631,631
69,0.994420180776,1.87621357882e-05,3.57902843037,2.25771330334,1.8748927628,632,632,632
70,0.994287800795,1.94342065314e-05,3.63623304776,2.31842652272,1.96947913765,651,651,651
71,0.994422915553,2.06677222401e-05,3.86645484947,2.38586216813,1.94393592304,624,624,624
72,0.99444106895,2.07539090947e-05,3.73416165234,2.42237378282,1.95749657433,640,640,640
73,0.994373570505,2.11024872473e-05,3.65963353788,2.56722565185,1.98101456337,629,629,629
74,0.99435699323,2.33525473248e-05,3.40107580519,2.54247321197,1.99708532366,648,648,648
75,0.994717439317,2.13672764265e-05,3.55962955424,2.54246762074,1.73574077469,634,634,634
76,0.994352374286,2.25271830539e-05,3.64074941423,2.66917336219,1.94682729886,618,618,618
77,0.994347691036,2.16536211821e-05,3.81172361219,2.64178570946,1.91048456083,633,633,633
78,0.994292625894,2.07391056691e-05,4.19542845868,2.61277007364,1.92322554152,633,633,633
79,0.9943540569,2.17468202604e-05,3.98731218027,2.69876167205,1.89660563082,615,615,615
80,0.994172483771,2.29359624012e-05,4.21358372681,2.85773318354,2.07345947063,626,626,626
81,0.994207533263,2.32030858389e-05,4.24703802624,3.09273664335,2.06953209006,633,633,633
82,0.994118279227,2.393727246e-05,4.3197164233,3.22925536151,1.99186182496,644,644,644
83,0.994144378955,2.31099154297e-05,4.29549373129,3.37887512816,1.92348719227,655,655,655
84,0.994156588698,2.29112163861e-05,4.27391467377,3.11189606121,1.91071712254,637,637,637
85,0.994108349704,2.41328095177e-05,4.21623284118,3.10781780842,1.93717874148,611,611,611
86,0.994308134641,2.26113135993e-05,4.55550801744,2.92691523066,1.8613956518,638,638,638
87,0.993990177546,2.21771259085e-05,4.6411350128,2.41918684759,1.93514534062,628,628,628
88,0.993882300111,2.17807518023e-05,4.41079804097,2.44601456829,2.01767592149,626,626,626
89,0.993805380577,2.28810533118e-05,4.45311211365,2.45762410305,2.01149331999,644,644,644
90,0.993453818187,2.4547692689e-05,4.3452973714,2.58050410534,2.17814984587,630,630,630
91,0.993466775009,2.64334713809e-05,4.40393501896,2.34729411914,2.17285280991,628,628,628
92,0.993440222262,2.71791196049e-05,4.47462917763,2.36602792813,2.27174374674,642,642,642
93,0.993346581329,2.96209802221e-05,4.21578197137,2.43856604174,2.40145222854,619,619,619
94,0.993283457809,3.09369318743e-05,4.15459311248,2.43027048226,2.43448024897,624,624,624
95,0.99328265819,3.0641559001e-05,3.99243782328,2.44001391692,2.48555065591,627,627,627
96,0.993104002812,3.06337319178e-05,3.98967565255,2.47556535476,2.64015855407,631,631,631
97,0.993343371164,2.78466527568e-05,3.85727813224,2.20623831644,2.49217914322,635,635,635
98,0.993274716104,2.89880245067e-05,3.77731001551,2.36153971202,2.48455688469,645,645,645
99,0.993344313315,2.86196908114e-05,3.775606081,2.3392190068,2.49760329759,617,617,617
100,0.992921543687,3.12643992719e-05,3.62452812628,2.4260921352,2.76471256432,624,624,624
101,0.992729281984,3.20282646376e-05,3.56609180723,2.43993823644,2.87941151655,629,629,629
102,0.992625519524,3.27328035792e-05,3.48858141486,2.4794064663,2.86304573621,625,625,625
103,0.992601010788,3.2431026361e-05,3.68954058571,2.50160663022,2.93119465859,629,629,629
104,0.992609690093,3.3281991369e-05,3.67949182419,2.91997658492,2.94647375363,617,617,617
105,0.992530035909,3.33197320919e-05,3.65404634095,2.81682614658,3.04390193069,633,633,633
106,0.992589869724,3.32853343337e-05,3.46503630283,3.06170195679,3.01883111813,635,635,635
107,0.992818776834,2.90414694346e-05,3.81172397659,3.0856817096,2.81008661708,624,624,624
108,0.992721263405,3.07448133835e-05,3.54693896311,3.15808463185,2.99206361213,635,635,635
109,0.992890304866,3.27246160375e-05,3.47936832954,3.22440383321,2.99309499182,638,638,638
110,0.992559626227,3.56316341914e-05,3.45563461224,3.2097901143,3.27355874466,632,632,632
111,0.99224869144,3.68151393674e-05,3.53094498733,3.13821720179,3.46412399382,637,637,637
112,0.99266792216,3.38439992875e-05,3.29987923846,3.24931106826,3.23667766028,639,639,639
113,0.992437618555,3.54326987017e-05,3.47176924343,2.9685821736,3.44948216733,624,624,624
114,0.992197814809,3.66133581476e-05,3.44649934399,3.12196692712,3.60120469314,638,638,638
115,0.992404356775,3.62230222452e-05,3.29043819333,3.19191516951,3.35856532823,631,631,631
116,0.992344623857,3.81996869856e-05,3.21694580951,3.25475853001,3.46317019782,635,635,635
117,0.992367545515,3.80310697695e-05,3.38463967372,3.29864809678,3.43255459411,626,626,626
118,0.992547197755,3.961353299e-05,3.38790171212,3.18934886317,3.39305074334,629,629,629
119,0.99238614228,4.02392809435e-05,3.15505212207,3.21344305148,3.47349680728,636,636,636
120,0.992280385118,4.29413911275e-05,3.03216921892,3.41920607037,3.63629110694,633,633,633
121,0.992230774641,4.29783025732e-05,3.4000545871,3.34610186475,3.81450366977,621,621,621
122,0.992326813742,4.2216400299e-05,3.51058380393,3.33710516747,3.82275893836,650,650,650
123,0.992252841666,4.35082565929e-05,3.72153178935,3.4732409055,3.86949434377,629,629,629
124,0.992473443684,4.32354737904e-05,3.855858103,3.63270594469,3.85580361828,640,640,640
