gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.924994120747,0.0172464949845,1720793.04516,1461200.82637,558391.483977,10000016.0381,100000020.904,249.040586688
1,0.883468265613,0.0215587203613,3167937.85575,3132259.3702,1028449.65988,10000013.4619,99999952.7593,456.643469411
2,0.851610661404,0.0232659340363,4826294.46217,4534643.17318,1631489.21092,9999985.37791,99999855.6071,621.383738063
3,0.837376112301,0.022546215892,6383961.56786,6745549.1527,1597084.53534,9999920.92842,99999937.5363,636.592319688
4,0.8230599923,0.0212836347787,8485272.60086,8373813.46984,2156211.89661,9999895.2818,99999784.2718,806.121348866
5,0.808661979717,0.0195175595235,11168674.1924,9901542.95291,2293587.26087,9999781.59275,99999709.9973,937.723174174
6,0.79588645974,0.0192866024337,12501590.163,10834286.6698,2336752.22754,9999727.65584,99999705.701,956.265684998
7,0.791708750662,0.018514081272,13662477.2531,12588025.797,2778993.59975,9999773.62366,99999645.191,1053.74578962
8,0.777908154725,0.0166633050157,15311306.0715,14067843.6339,2898360.0974,9999754.70049,99999405.9917,1122.34240041
9,0.765742648769,0.0148645771536,16321965.6226,15614294.4176,3678965.73491,10000010.2248,99999452.5536,1381.65482513
10,0.761782520794,0.0136244115463,18312307.6185,17777454.4432,3890544.19106,9999975.00636,99999446.9623,1466.24287879
11,0.765074808384,0.012886224525,18964968.6706,19078256.6527,4109032.127,9999787.95046,99999309.3218,1482.59588646
12,0.766324896115,0.0126201540752,18942396.513,22337429.8124,3793486.51019,9999830.30047,99999358.8428,1456.22126918
13,0.759717838127,0.0113142944242,21198914.731,26178339.2784,4158480.26719,9999607.07937,99999455.921,1589.36796688
14,0.754426728354,0.0111918728654,23429805.9934,26862141.8994,5068836.20422,9999565.22635,99999601.3822,1672.24367936
15,0.754533398386,0.0105994754902,25367447.2062,30933775.8217,5467140.70427,9999610.30395,99999716.1948,1771.38255263
16,0.754976527796,0.0102983894502,27566752.7986,32237656.0853,5283499.65384,9999758.12906,99999779.1129,1803.9561513
17,0.752641788013,0.00928110351851,27850113.8509,34283754.5363,4861399.0002,9999558.57937,99999685.3446,1841.21044748
18,0.754457470558,0.00832514597273,29098920.7453,37191291.0417,5051470.14827,9999445.58747,99999501.3876,1998.48946429
19,0.749180889939,0.00795073118533,29321534.4446,34657691.3115,4749461.36858,9999385.9701,99999545.1524,2061.68217631
20,0.745270550875,0.00771100767101,30328689.2088,36733579.8718,4872209.38651,9999259.66908,99999893.577,2098.93137391
21,0.74532102712,0.00759686721273,36144992.4616,37806745.5191,5401358.61595,9999660.71111,99999939.8485,2143.75731622
22,0.742717563926,0.00727337546227,43979960.1773,36743942.7982,5794087.88448,9999757.38747,99999787.6105,2252.14504046
23,0.73756037595,0.00718511851374,47994678.287,36595280.5469,6505577.38448,9999946.2141,99999662.1397,2315.4374268
24,0.739967551971,0.00716206774652,48403514.6614,40491552.5482,7029616.71635,9999987.61429,99999594.9708,2463.24563074
25,0.738783449289,0.0060094887228,46917578.0564,42589376.9463,6664050.27268,9999987.80801,99999784.351,2423.40539864
26,0.732263103174,0.00540100926292,46614967.8769,44313507.4392,6898911.17782,9999847.94534,100000012.85,2569.83292199
27,0.730139463702,0.00509843959663,51767960.8779,50161213.3925,7117384.92389,10000108.0332,100000447.937,2510.43157719
28,0.733504879458,0.005215952973,55063610.2831,53695726.0883,6556577.60237,9999689.72006,100000653.203,2345.77814238
29,0.731061348976,0.00547522232679,55667299.7389,56151269.7609,6834876.19537,9999638.75687,100000381.074,2365.32710546
30,0.730729361073,0.00514898988696,56156186.9234,58468120.8885,7087286.94978,9999484.0105,100000570.93,2385.02422789
31,0.72976709226,0.0053200319263,54283322.1562,59036157.3337,6900006.8655,9999386.16502,100000796.979,2490.90016052
32,0.729746533135,0.00538195431169,49624172.787,56227396.3214,7951183.45338,9998961.85879,100000989.641,2743.31632015
33,0.729451893362,0.00537253985433,55348407.5959,57673644.3555,8732265.90892,9999085.71352,100000882.384,2850.10565482
34,0.736645006838,0.00602446600004,58109036.5421,59350240.9717,8768406.93041,9999341.33679,100000778.984,2731.40294107
35,0.741853489351,0.00683008639158,63504918.671,61496924.1323,9153491.4974,9999417.51525,100000781.779,2714.88109798
36,0.740557009894,0.00658320148272,65189300.4359,65933315.7864,8923256.80747,9999059.6523,100000671.724,2730.82826801
37,0.73712841506,0.00682554498432,71702522.3513,70620148.9864,10167199.0867,9998836.4839,100000030.071,2722.88829528
38,0.734945749219,0.00598586206376,74936925.7591,71769320.5458,9985686.07916,9998776.36699,100000356.932,2769.20396882
39,0.743943240442,0.00725852898206,69012362.5111,72671563.8302,10495583.0474,9998870.61029,100000271.196,2665.69278649
40,0.732499693857,0.00589859867275,71310966.8558,72992891.8951,10984155.0542,9999239.39891,100000335.618,2877.42031473
41,0.728558691656,0.00535404061298,67122505.2752,71744467.4817,10674115.5508,9999801.66789,100000208.792,2992.08724044
42,0.73028497073,0.00568869427225,64509591.5978,70663350.8767,11472215.8506,9999984.96009,100000542.887,2988.06239494
43,0.726209314916,0.0052504069191,61638232.681,76051084.0802,11278388.1538,10000194.1119,100000747.502,2993.70182272
44,0.726503417252,0.00536667267503,62414852.2294,76109288.6727,10751434.1067,10000160.0294,100001456.432,3030.0592595
45,0.723936385945,0.00470212553941,65261211.9432,74060827.3533,12137171.2881,10000378.4639,100001289.562,3234.45361662
46,0.721489480451,0.00407223570603,65914473.9423,76365976.2177,11627910.285,10000192.4406,100001276.235,3100.04028806
47,0.724645569443,0.00457053042693,67144767.147,83639491.9618,11508266.1511,10000256.0717,100000824.903,3192.33703836
48,0.725269689249,0.00431250748491,68376791.5553,85316679.7135,10658608.3933,10000274.1226,100000431.08,3054.264363
49,0.721837864253,0.00351077861377,68910385.7772,86753161.7014,9814186.23521,10000357.8778,100000368.811,3077.361991
50,0.720068195629,0.00343247846864,71396269.9765,88169453.6738,10108121.4979,10000570.4327,100000071.326,3085.48218082
51,0.723430878957,0.00355132740156,69322480.401,93133778.6105,8871245.15669,10000453.0018,100000131.658,3117.18646428
52,0.724855391149,0.00388215384658,70800977.1355,90433228.7774,9018800.08747,10000330.7155,100000116.699,3097.54786796
53,0.725410513469,0.00371903761138,70631920.3932,93883150.1104,7925997.17833,10000585.569,100000119.6,2978.53226178
54,0.723779822528,0.00354259404625,79552333.2696,95325494.0503,7856554.24846,10000665.8683,100000095.001,2978.97089372
55,0.725494608047,0.00410745841187,72994962.9422,102044005.675,7181873.04279,10000803.6327,99999726.3862,2903.39919576
56,0.7257633536,0.00415495394668,73186491.732,103178263.111,7965925.46908,10000905.189,99999950.7258,2928.99972648
57,0.724947920692,0.00420604226042,67812124.0768,108058805.101,8171503.87966,10000566.1884,100000041.021,3091.74063853
58,0.726559464366,0.0040552978624,63165131.1055,105475243.924,9045446.48897,10000686.4421,100000187.378,3234.7517562
59,0.724530803399,0.00407351518743,64872469.3221,106286412.055,8939598.11255,10000572.1617,100000024.544,3091.97258579
60,0.720013562419,0.00353023365145,69829835.7113,104182766.595,8700935.9963,10000516.1525,99999925.7234,3084.34490091
61,0.719900215296,0.00368779506094,74139061.7352,104112287.706,8799737.87425,10000860.5611,99999682.571,3049.57629504
62,0.71885395945,0.00407579492758,77053930.8389,115278774.712,9110426.19344,10001197.1611,99999401.7535,3010.30178735
63,0.715640579482,0.00365185782085,76251696.4455,117025141.986,10065476.4695,10001248.5226,99998687.8306,3191.92610045
64,0.716494899194,0.00354670599346,74054574.1273,116221817.384,9530386.14904,10001039.9209,99998161.6445,3138.74115812
65,0.720581352079,0.00401580419214,75796812.5763,120812213.239,9869880.27505,10001390.8979,99997820.4139,3221.94949681
66,0.722465937156,0.00418588805229,79519013.1575,126626902.792,10799845.7921,10001321.9143,99997968.1159,3342.12809309
67,0.721601834496,0.00414903348232,80872859.9546,124286627.687,11250564.8672,10001721.6958,99998450.601,3448.8454345
68,0.722676426055,0.0040382335079,79397488.3595,116497940.388,11893907.2284,10001795.0958,99998933.9319,3370.0028876
69,0.722648559345,0.00348535398006,81720469.801,115914706.204,11815415.5427,10001982.6943,99998530.9931,3475.05610228
70,0.721192340437,0.0034093335773,77054308.9899,109180727.031,11983125.0862,10001825.4369,99998726.6024,3415.42690344
71,0.719814413315,0.0035286552335,82363485.0458,115368186.768,11936935.9452,10001449.2306,99998202.9507,3351.59225448
72,0.718492516479,0.00327565883586,83633279.9516,120061242.721,12207346.0025,10001529.5874,99998275.0679,3402.24265038
73,0.716746998785,0.00318112554334,86071835.1269,121945054.725,12635127.0281,10001671.4096,99998533.0005,3517.83749888
74,0.715845432261,0.00323199261808,92906112.2762,130718577.898,12907204.5933,10002201.1985,99998087.0777,3451.78537301
75,0.721214815329,0.00354347140256,89652439.0154,134125475.654,13340684.1158,10002391.0999,99998461.2221,3490.75189417
76,0.715246929035,0.00372651084253,93621429.421,134132966.608,14140965.2888,10002186.3324,99997983.7202,3588.72931323
77,0.715581386628,0.00334946046349,82314222.0518,132332820.91,13642162.7704,10002033.3019,99998374.0869,3536.98694133
78,0.715852895753,0.00344911578215,81099266.8965,128403120.988,14594180.0284,10001881.2986,99997978.7314,3589.4165761
79,0.717849938565,0.00318288591749,78366897.7487,137747200.14,14037958.2807,10001893.1684,99997595.9808,3618.50097926
80,0.716763740143,0.00343925272301,83326824.5595,138557762.19,15004313.4581,10001351.0028,99997750.5282,3579.63135396
81,0.718181235823,0.00315341471955,84369081.0024,139626447.132,14871839.0067,10001384.7841,99997380.6448,3482.28563507
82,0.719218252047,0.00313393983895,79239671.6781,135965939.826,13360399.5763,10001284.8866,99997318.854,3252.72559473
83,0.7182151591,0.0032704560429,83789119.6072,135621512.337,12842895.9532,10000679.1948,99997238.8411,3255.93822279
84,0.717888825296,0.00328356702678,80227465.6071,131269532.564,12565659.0008,10000806.8206,99997467.1507,3381.93912192
85,0.718015846421,0.00321329405923,78973428.7509,133912647.489,12330522.8868,10001162.7373,99997490.4469,3276.63945618
86,0.723036148344,0.00337598440466,85530028.7196,132319602.285,13639645.1541,10001555.8145,99997554.1377,3317.62933233
87,0.721374680025,0.00347223639542,90601121.9155,130105499.735,12605370.5484,10001680.0737,99997839.1203,3203.22016623
88,0.720380577767,0.00349154172384,85670386.7904,129310646.867,11652579.6327,10001617.0141,99997597.6534,2957.77682688
89,0.719871919949,0.00353811170221,83457055.1325,116269968.229,12121673.8366,10001707.7928,99997861.3887,3003.10200623
90,0.721489466655,0.00373646081366,84945772.4387,109814718.513,12249484.9006,10002741.232,99997514.3549,3032.10137015
91,0.72042696349,0.0036025274694,86060208.7837,113943594.625,11005595.5886,10002988.7869,99997136.7788,2893.22379006
92,0.724249999402,0.00371882042111,86114629.0093,118829840.047,10949854.8784,10003236.6546,99997556.8097,2788.34358057
93,0.726319003735,0.00381061345182,83589313.3271,115226334.796,10876629.7746,10003109.0369,99997368.7524,2821.42047902
94,0.724828668877,0.0036414405679,93600942.157,120579167.575,10035844.0103,10003470.9975,99997020.7333,2989.02918538
95,0.723283180934,0.00338693929375,89992821.5331,113455522.617,11167631.0886,10003240.2559,99997214.7129,3130.04081243
96,0.71714601783,0.00313005944642,92479114.871,109263937.131,11426523.1024,10003054.2574,99996787.245,3128.75042146
97,0.721020098363,0.00362748132477,92089169.7641,110166175.829,10705954.8958,10002813.8737,99996868.9453,3037.09353925
98,0.717692151432,0.00350807245322,90917065.2244,114457603.937,12222310.5911,10003027.446,99997436.7031,3207.1098742
99,0.718244687644,0.00337039900527,92906766.296,120242955.255,12111106.3403,10002271.1267,99997802.4074,3289.52718746
100,0.717747430489,0.00391256376705,99044910.6608,132169015.325,14212643.1148,10001900.5092,99997645.4905,3382.42398128
101,0.714102421701,0.00306308114953,103662887.039,129313144.456,15210234.4187,10001590.2591,99997861.1394,3533.04160854
102,0.715525909849,0.00259967800827,108502890.503,134662284.44,15371814.3446,10001728.3529,99998177.9789,3711.12202903
103,0.712925179562,0.00272914632158,104666958.628,137583136.467,15827168.9531,10001386.995,99998412.9458,3872.51204217
104,0.713039494767,0.0027878522708,105205420.712,138604651.998,16824380.6434,10001833.8502,99998230.425,3995.23602239
105,0.710524374919,0.00254528532557,103325813.898,135131499.592,17146678.0886,10001799.4977,99999015.4404,4105.3159628
106,0.711786865526,0.00270451379654,103659272.36,141417980.476,17325036.0689,10001918.8532,99998948.8408,4090.16382044
107,0.711673407512,0.00250076018185,102708919.616,151250397.291,16720826.6529,10002041.1177,99998985.8888,4166.91542596
108,0.715936111254,0.0026802536518,101188335.345,148148758.104,15948495.6971,10002633.5187,99998563.0631,3991.25925243
109,0.718906164045,0.00297507214324,98795816.0955,156494532.328,16422114.7626,10003164.6868,99998346.2392,3868.92371392
110,0.72265235906,0.00301456959099,101605148.193,162083702.254,18326539.6504,10003360.8433,99997675.1579,3837.13624929
111,0.720850730842,0.0030435392205,104807310.648,162496843.834,20444707.8953,10003106.7566,99997887.6982,3791.78643235
112,0.723201342756,0.00341172403828,112107783.331,164586684.084,21967183.9409,10002867.998,99997752.6423,3796.49637697
113,0.723905728097,0.003530968929,115645754.73,159373904.445,18781608.9274,10002964.6667,99997164.2536,3816.82282735
114,0.721474335739,0.00335796173953,109830684.597,153903060.927,19930235.5314,10002642.7569,99997085.0927,3891.64301846
115,0.718001689938,0.00282061187051,106403939.436,148800097.704,21684260.1589,10002253.9939,99997033.4129,4031.73968505
116,0.714556059106,0.00273902553908,106546867.27,161238291.124,24234062.5719,10002543.3729,99996963.8283,4202.297419
117,0.717501482179,0.00295675437,109057192.019,160387922.162,25032770.2864,10002536.3191,99996448.6,4184.25776849
