gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.991546044361,4.99821179319e-05,3.79402531615,4.00458428048,3.95048246379,640,640,640
1,0.987878316285,0.000128274020396,6.5321839241,8.3017451325,7.74595872563,635,635,635
2,0.98536429991,0.000330055278496,11.89527239,12.4146519929,10.2250873622,644,644,644
3,0.980935013625,0.000949225061087,15.9177780694,16.1244739097,14.1019054703,628,628,623
4,0.981266610033,0.000783586743077,19.3424602179,21.645065292,15.2298444279,634,634,632
5,0.978200027158,0.00105759495491,23.049418488,26.0659442614,17.8937549527,624,624,622
6,0.977011256658,0.00142014243048,25.209150866,29.4045313785,19.7323527008,648,648,641
7,0.976185977574,0.00130890102623,29.4672158122,35.9958740405,21.190907676,629,629,624
8,0.974817608336,0.00164679715364,32.3614856956,38.7114925376,23.017148373,617,617,609
9,0.975056046009,0.00133925999505,39.2902653507,43.998858732,25.7661469489,638,638,632
10,0.972582440234,0.00157919649012,41.304117191,47.6213826964,28.3778158226,640,640,632
11,0.969996293393,0.0025983365581,43.3465689962,46.0277993018,27.9113393843,623,623,611
12,0.96971526089,0.00199784376981,46.1785805689,48.9687774924,32.7295422094,644,644,634
13,0.968036453293,0.00240433389711,50.7358561498,55.8793958269,32.9933603032,645,645,636
14,0.966663293138,0.00290853930354,54.227539583,59.3731859293,35.5141586307,654,654,637
15,0.966698727376,0.002713811586,56.7424758067,66.2596226118,37.2721133529,629,629,614
16,0.968443323692,0.00226442606249,58.8007731761,74.2655584975,37.443707287,633,633,621
17,0.969105082901,0.00179122066415,63.1220296024,73.8478710029,39.9594533345,643,643,634
18,0.971743084392,0.00158160100334,68.832173974,72.9909112954,37.9183723435,627,627,621
19,0.970376248712,0.00201657978396,71.9741736017,71.3719691041,41.1314323262,624,624,614
20,0.971766894808,0.00141830172543,72.8962791172,72.9225538548,40.2977123722,639,639,634
21,0.970054919771,0.00177513383938,73.3062476011,74.5830455298,44.9753267671,637,637,630
22,0.97067940783,0.00166173246448,70.3862554123,75.4542164832,46.1016716952,638,638,633
23,0.968368348657,0.00200603863381,76.5432142773,74.7021265928,49.9294824853,620,620,613
24,0.969329433067,0.00130886388696,83.813501202,77.4627975296,51.9508943108,624,624,619
25,0.96464214202,0.0026289393855,88.5617764856,81.3209100867,55.4480053021,625,625,612
26,0.959512799843,0.00349401146107,93.5649843375,87.9955455538,63.3843515526,647,647,631
27,0.957337302679,0.00451239421728,91.6711073884,87.2378497349,62.4891376564,614,614,592
28,0.96178854171,0.00288069521852,90.3322393028,89.3610257739,64.5347007358,629,629,612
29,0.961515373962,0.00323233809006,96.4906712743,95.5401476612,71.1927099401,638,638,623
30,0.958994693552,0.00382581689366,104.138974905,90.9989189145,74.3856247781,636,636,616
31,0.962204422159,0.00298047228308,111.075297772,102.066775033,78.3855955755,651,651,632
32,0.964063669231,0.0022342854054,123.1663699,105.781185862,77.6943444162,621,621,611
33,0.963671826778,0.00229941543694,136.951046333,98.8733950238,76.2515333668,644,644,632
34,0.961583499727,0.00273145398748,131.898241569,97.8844477068,74.4743270497,623,623,610
35,0.965461109415,0.00192236348634,141.176732293,104.00849343,74.3029760893,637,637,627
36,0.963236262361,0.00282473880213,143.159412403,102.42678293,68.7145968498,611,611,598
37,0.961497359433,0.00273394535773,142.085843839,109.056419785,72.749076458,624,624,612
38,0.966151504626,0.00165527664957,151.104920842,113.027865887,70.7077085165,636,636,629
39,0.966669159941,0.00112361867002,161.342074305,122.3043453,73.8594316191,631,631,628
40,0.963594236074,0.00248289925258,169.129756584,115.539987158,73.1242961917,619,619,606
41,0.962899141969,0.0019741737104,171.448854379,117.745183602,79.3177400951,631,631,622
42,0.9610990522,0.00247422846843,175.005433052,131.340693916,81.6648776765,625,625,614
43,0.964456488959,0.00162550374043,183.607458378,140.587746773,82.5360783337,626,626,620
44,0.965633316243,0.00152158606624,182.068568641,142.838132943,74.8064985331,627,627,621
45,0.96573054068,0.0015976521925,187.147553316,139.252422398,79.0635936911,635,635,627
46,0.96387142813,0.00213723525458,185.605182861,138.085628229,81.7739679697,650,650,639
47,0.961898835998,0.00239714727731,188.460801989,141.976275716,88.6445456203,633,633,621
48,0.958346101947,0.00318144179207,187.963597474,134.924952817,96.8930320622,640,640,624
49,0.959597543407,0.00244245127675,191.634190132,147.729431148,105.76073736,627,627,616
50,0.959983764994,0.00253902067544,189.961058567,149.46445956,98.5751669146,617,617,608
51,0.96202710776,0.00181887482759,195.523065406,151.753471942,99.2120949727,626,626,620
52,0.959866143916,0.00286052016423,200.162801778,149.763177595,93.1455634915,630,630,617
53,0.961846903288,0.00218840527614,215.618829985,153.590187786,90.9643556102,616,616,606
54,0.964359530961,0.00148731971123,208.043312362,149.33971249,86.1099708622,627,627,620
55,0.96245449445,0.0021420933,217.457833002,157.295306044,91.65828027,634,634,626
56,0.964449817942,0.00142953509343,221.499477593,160.4035175,87.2233926234,628,628,623
57,0.965136602338,0.00100420906234,213.385734137,168.275043963,93.3420808523,632,632,629
58,0.961336678056,0.00224489894035,211.667530179,171.665333632,94.1873417051,633,633,623
59,0.961787799957,0.00206874427352,217.054114268,161.89428215,91.4961450562,627,627,617
60,0.961034020504,0.00236711818936,235.157748614,166.982487498,89.3785776542,635,635,623
61,0.965142304588,0.00147587205086,239.173570286,166.332027921,82.0203798872,623,623,617
62,0.962993189731,0.00239533517375,233.070558249,164.727302627,80.6724669079,628,628,617
63,0.964610020698,0.00162468618717,241.705896265,174.205035972,82.7883411168,628,628,620
64,0.963658446048,0.00232986299893,235.888124248,184.653876878,81.9123297651,620,620,612
65,0.96354351893,0.00213906331197,243.210028616,180.93025517,83.7280579711,634,634,624
66,0.966257166699,0.0017410069688,252.915532863,194.567046148,79.6963457515,630,630,624
67,0.96460498445,0.00222686642431,254.683393645,202.574775529,83.1374991504,608,608,597
68,0.964166524192,0.00214701637721,272.430158232,204.595367633,91.1788079835,631,631,622
69,0.966307074329,0.00180781080923,268.736557779,199.300422371,82.1105708793,623,623,615
70,0.967521623441,0.00172183656681,273.021453181,204.387222733,80.0239605811,633,633,626
71,0.96845595336,0.00160167741725,271.66340165,233.617064398,79.4562075499,643,643,636
