gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.999999931343,2.6979237782e-15,417.131912021,408.610983437,1.92592994439e-34,10000001.952,100000001.035,0.1
1,0.99999990358,5.11575986869e-15,813.584377221,790.655970647,1.92592994439e-34,10000002.6807,99999999.5654,0.1
2,0.999999884837,6.7357686697e-15,1128.27405493,1104.13654299,1.92592994439e-34,10000003.5071,99999999.6179,0.1
3,0.999999863555,9.75641902968e-15,1597.22983366,1489.17553648,1.92592994439e-34,10000003.9365,100000000.824,0.1
4,0.999999840533,1.28126444166e-14,2149.02394466,2089.13429992,1.92592994439e-34,10000005.0048,99999998.6161,0.1
5,0.999999828085,1.4568956636e-14,2429.52145192,2337.17930979,1.92592994439e-34,10000008.7267,100000001.834,0.1
6,0.999999816527,1.72949164405e-14,2800.38282676,2934.03929339,1.92592994439e-34,10000009.2919,100000000.64,0.1
7,0.999999810102,2.08818125223e-14,3078.60159864,3191.389669,1.92592994439e-34,10000012.6626,100000000.598,0.1
8,0.999999800403,2.23119166728e-14,3329.54600177,3713.26990389,1.92592994439e-34,10000014.0773,100000001.769,0.1
9,0.999999784871,2.3622026877e-14,3746.08543343,4164.81546922,1.92592994439e-34,10000014.3519,100000001.66,0.1
10,0.999999768631,2.33491911253e-14,4247.94829963,4756.26216424,1.92592994439e-34,10000010.446,99999999.9911,0.1
11,0.999999771201,2.55106305251e-14,4363.61378333,5132.08005932,1.92592994439e-34,10000005.864,100000001.591,0.1
12,0.999999754377,2.78493724102e-14,4960.34238679,5692.72712433,1.92592994439e-34,10000004.3956,100000005.532,0.1
13,0.999999744587,2.98691352275e-14,5357.32135381,6173.29664318,1.92592994439e-34,10000005.2292,100000005.663,0.1
14,0.999999746102,3.08410069351e-14,5379.84453902,6700.87929296,1.92592994439e-34,10000002.5166,100000007.663,0.1
15,0.999999735789,3.453687379e-14,5899.34558154,7203.39371513,1.92592994439e-34,10000003.1925,100000009.766,0.1
16,0.999999722702,3.88426557593e-14,6573.27917609,7442.51644638,1.92592994439e-34,9999999.72223,100000008.858,0.1
17,0.999999715801,4.012903996e-14,6889.58253787,7889.29175474,1.92592994439e-34,10000000.1526,100000008.191,0.1
18,0.999999707477,4.81557001527e-14,7629.79197435,8378.88390432,1.92592994439e-34,9999998.96665,100000006.59,0.1
19,0.999999701662,5.52635013117e-14,8207.45187836,8488.52519912,1.92592994439e-34,9999995.3722,100000005.828,0.1
20,0.999999690869,5.66428281915e-14,8626.51982855,9212.39595232,1.92592994439e-34,9999992.94175,100000004.482,0.1
21,0.999999680965,6.01781581089e-14,9132.30464699,9211.02081084,1.92592994439e-34,9999989.46863,99999999.6724,0.1
