gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.999999914488,4.46661152664e-15,348.375262672,436.330565711,0.0,9999999.08057,99999999.8995,100
1,0.999999873667,9.00984542922e-15,738.218504542,796.119339093,0.0,9999998.64979,100000000.471,100
2,0.999999848153,1.24840430861e-14,1051.04312724,1252.36070205,0.0,10000001.1588,100000000.898,100
3,0.999999819078,1.71013168231e-14,1476.51705174,1683.95065917,0.0,10000000.1336,99999999.3211,100
4,0.999999793849,2.48945193316e-14,1979.87651045,2044.96107316,0.0,9999999.40233,99999999.6815,100
5,0.999999757005,3.54230976689e-14,2767.12294903,2608.69888617,0.0,9999998.16186,99999998.8059,100
6,0.999999735795,4.16672200029e-14,3262.38839329,3184.26749798,0.0,9999997.58249,99999998.4184,100
7,0.999999724044,4.37720057846e-14,3462.93708273,3421.26930802,0.0,9999995.37472,100000002.075,100
8,0.999999709441,4.99767374705e-14,3888.98845645,4008.27369427,0.0,9999996.23675,99999999.2947,100
9,0.999999698787,5.25285472386e-14,4190.2126477,4215.60967391,0.0,9999996.30298,99999998.781,100
10,0.999999682112,6.25287050437e-14,4787.5248031,4518.34397565,0.0,9999994.21143,99999993.6652,100
11,0.999999669335,6.36410809872e-14,5097.97859852,4641.14086952,0.0,9999997.24372,99999994.349,100
12,0.999999674258,6.49831482611e-14,5040.98694975,5243.25580928,0.0,9999997.19414,99999995.7615,100
13,0.999999669494,6.83403893952e-14,5128.89396058,5242.44256844,0.0,9999996.62453,99999997.4823,100
14,0.999999672688,7.01146211237e-14,5122.53414528,5987.68896517,0.0,10000000.5811,100000003.267,100
15,0.999999656331,7.61538439912e-14,5542.98553206,6436.55795223,0.0,10000000.1217,100000001.871,100
16,0.999999640214,7.95119188282e-14,5941.32655082,6603.8194109,0.0,9999997.10125,100000006.201,100
17,0.999999622491,9.10128905045e-14,6662.61470738,7080.19357266,0.0,9999998.68267,100000006.207,100
18,0.999999605571,9.63390846046e-14,7285.83567892,8517.59215339,0.0,9999997.72843,100000002.454,100
19,0.999999588361,1.08770991235e-13,8074.6234328,8973.66513672,0.0,9999999.86469,100000003.31,100
20,0.999999569429,1.11693407848e-13,8701.72377035,9135.69804737,0.0,10000002.9414,100000001.332,100
21,0.999999571813,1.14688807179e-13,8674.93058447,10332.1094925,0.0,10000003.4211,100000008.453,100
22,0.999999568265,1.1392353371e-13,8817.72267446,10811.5992823,0.0,10000004.1591,100000005.829,100
23,0.999999549187,1.22509815673e-13,9642.75590896,10838.4046447,0.0,10000000.6165,99999999.6659,100
24,0.999999546777,1.18337802262e-13,9578.50208931,11402.1091102,0.0,10000000.0332,100000004.601,100
25,0.999999540579,1.19358716857e-13,9693.3774242,11531.0497569,0.0,10000005.0479,99999996.9945,100
26,0.999999522341,1.3230270146e-13,10521.8452092,12647.6366199,0.0,10000004.5294,100000001.405,100
27,0.999999486162,1.47025985754e-13,11929.5287894,12059.7305664,0.0,10000014.8359,100000001.29,100
28,0.999999463373,1.52449715005e-13,12574.8989232,12450.2993703,0.0,10000019.1615,100000002.497,100
29,0.999999442744,1.73322888972e-13,13763.3601045,13152.0956673,0.0,10000018.9942,100000008.671,100
30,0.999999431973,1.69534265196e-13,13946.2371522,12442.7945027,0.0,10000020.6013,99999999.8881,100
31,0.99999943981,1.62749903939e-13,13572.9123598,13781.9206508,0.0,10000017.8975,99999989.5876,100
32,0.9999994282,1.7022593329e-13,14208.1581051,14108.9830232,0.0,10000017.5316,99999987.4741,100
33,0.999999424355,1.80903518189e-13,14652.6661321,14656.7038917,0.0,10000018.3221,99999982.9284,100
34,0.999999417039,1.8509457153e-13,14830.8278207,15036.0474155,0.0,10000026.0106,99999987.817,100
35,0.999999412364,2.02749665489e-13,14999.7201052,15781.6927364,0.0,10000031.4206,99999997.8442,100
36,0.999999416013,2.06771555786e-13,15199.7666658,15856.4599528,0.0,10000026.6998,99999998.1779,100
37,0.999999421652,2.04036645001e-13,15129.5642489,16183.2231402,0.0,10000024.8795,100000007.893,100
38,0.999999416951,2.05827510191e-13,15397.3181706,15613.0641847,0.0,10000022.7754,100000005.802,100
39,0.999999413118,2.16738523889e-13,15678.7379624,15954.7207801,0.0,10000026.9878,100000005.365,100
40,0.99999939579,2.26867211613e-13,16411.6210278,16472.2968164,0.0,10000029.7311,100000003.55,100
41,0.999999399314,2.31154620655e-13,16241.7100004,17421.010535,0.0,10000028.2973,99999997.8526,100
42,0.999999390283,2.60784672008e-13,16709.3223488,17502.0353739,0.0,10000040.1004,100000007.768,100
43,0.999999395242,2.56172434785e-13,16797.855998,17845.1887289,0.0,10000034.5988,100000010.745,100
44,0.999999382494,2.67920122059e-13,17450.5468002,18971.920531,0.0,10000033.3301,100000020.589,100
45,0.999999381706,2.65016096976e-13,17541.1810806,20390.0856921,0.0,10000032.0464,100000015.184,100
46,0.999999414058,2.47320485989e-13,16262.8522789,20162.5698624,0.0,10000026.2808,100000012.061,100
47,0.999999390905,2.57167522061e-13,17189.2250322,19977.063935,0.0,10000023.7266,100000021.086,100
48,0.999999360027,2.77654359828e-13,18671.7346533,21784.9719383,0.0,10000028.3308,100000016.741,100
49,0.999999346821,2.87667434003e-13,19445.2622219,22561.486823,0.0,10000028.8773,100000012.519,100
50,0.999999325588,2.91978999337e-13,20048.0401401,23483.7353484,0.0,10000033.5808,100000017.164,100
51,0.999999312318,3.01294741028e-13,21186.046064,22344.4548536,0.0,10000031.4439,100000020.437,100
52,0.99999930487,3.03345748058e-13,21880.6611886,22751.0394458,0.0,10000026.5833,100000012.766,100
53,0.999999301355,3.25942329274e-13,22380.6953509,23813.0617024,0.0,10000029.1748,100000014.41,100
54,0.999999289966,3.15711468262e-13,22475.1012056,23635.2902413,0.0,10000029.1986,100000001.158,100
55,0.999999255879,3.42175195712e-13,24844.2186255,24900.6087878,0.0,10000027.4559,100000002.439,100
56,0.999999232689,3.65049639291e-13,25992.7441773,26115.3655166,0.0,10000033.5402,100000009.274,100
57,0.999999202681,3.74674899706e-13,27451.9546841,24588.5592965,0.0,10000035.0719,100000006.558,100
58,0.999999230975,3.90819808075e-13,26397.4902247,24974.106819,0.0,10000036.0762,100000013.489,100
59,0.999999216725,3.75193118734e-13,26958.0061096,25300.8673837,0.0,10000031.5225,100000008.882,100
60,0.999999218984,3.96976426763e-13,26919.5896645,26723.0968855,0.0,10000040.3996,100000005.545,100
61,0.999999228188,3.96227232566e-13,26590.2906138,28441.876375,0.0,10000039.5478,100000007.896,100
62,0.999999169254,4.03359464347e-13,29295.2164695,27608.0919486,0.0,10000043.3415,99999996.5259,100
63,0.999999178,3.81005757983e-13,28516.7445145,29422.1654578,0.0,10000041.2953,100000003.101,100
64,0.999999183583,3.80021162496e-13,28199.8001045,31164.696724,0.0,10000040.7228,100000012.558,100
65,0.999999210019,3.53017170456e-13,26623.4088994,34115.8129272,0.0,10000037.7581,100000017.698,100
66,0.99999919035,3.68708832602e-13,28443.832665,33948.8031337,0.0,10000035.6589,100000012.359,100
67,0.999999173024,3.55406691571e-13,29717.3304635,35046.8534697,0.0,10000014.9659,100000022.972,100
68,0.999999181342,3.50616077621e-13,29167.1353673,35794.6166394,0.0,10000007.5724,100000026.907,100
69,0.99999916202,3.71194928466e-13,30461.0196941,34806.798447,0.0,10000015.8135,100000022.181,100
